Wall time,Step,Value
1775829139.4988933,10000,-62184248.0
1775829145.2054305,20000,-62289264.0
1775829150.7288074,30000,-62294652.0
1775829209.5587454,40000,-61981588.0
1775829215.1327426,50000,-61825456.0
1775829220.7047992,60000,-61921616.0
1775829283.0704114,70000,-61540752.0
1775829288.7156982,80000,-61822188.0
1775829294.3595762,90000,-61572636.0
1775829356.4612422,100000,-61000108.0
1775829364.0466309,110000,-60775952.0
1775829369.9369698,120000,-60821792.0
1775829375.6337337,130000,-60633560.0
1775829435.2646463,140000,-60359656.0
1775829440.8885047,150000,-60414312.0
1775829446.4713292,160000,-60410400.0
1775829505.9879787,170000,-60600576.0
1775829511.4636793,180000,-60650568.0
1775829516.977575,190000,-60665676.0
1775829580.972403,200000,-60641432.0
1775829590.8425286,210000,-60783812.0
1775829596.8441243,220000,-60799012.0
1775829662.143169,230000,-60253996.0
1775829667.8385925,240000,-60371148.0
1775829673.4459965,250000,-60445376.0
1775829679.0640616,260000,-60411588.0
1775829739.848401,270000,-60452996.0
1775829745.4526026,280000,-60243364.0
1775829751.051335,290000,-60282704.0
1775829813.2342923,300000,-60020908.0
1775829823.927695,310000,-60242276.0
1775829829.4721763,320000,-60339340.0
1775829891.9656792,330000,-60231260.0
1775829897.7903557,340000,-60008600.0
1775829903.7513843,350000,-60253108.0
1775829909.4756768,360000,-60179108.0
1775829974.3172002,370000,-60115228.0
1775829979.9604867,380000,-60188856.0
1775829985.65948,390000,-60312140.0
1775830047.9683254,400000,-60191564.0
1775830057.622196,410000,-60127976.0
1775830063.4199948,420000,-60161120.0
1775830129.7819357,430000,-60491688.0
1775830135.3870373,440000,-60441996.0
1775830141.059198,450000,-60465280.0
1775830206.1759171,460000,-60065340.0
1775830211.9236412,470000,-59939244.0
1775830217.8342156,480000,-60087272.0
1775830223.5050743,490000,-60067692.0
1775830289.335134,500000,-59896820.0
1775830300.0697079,510000,-60118328.0
1775830305.6559637,520000,-59910880.0
1775830371.614476,530000,-60298748.0
1775830377.200754,540000,-60241332.0
1775830382.875359,550000,-60118032.0
1775830445.0487092,560000,-60093316.0
1775830450.6332226,570000,-60265244.0
1775830456.179393,580000,-60065852.0
1775830515.4306035,590000,-59989768.0
1775830521.278081,600000,-60005484.0
1775830533.5313346,610000,-60218084.0
1775830539.0509233,620000,-60077768.0
1775830600.99735,630000,-60221064.0
1775830606.6232305,640000,-60208764.0
1775830612.183885,650000,-60225832.0
1775830672.3139877,660000,-60171328.0
1775830677.9840746,670000,-60408332.0
1775830683.5986023,680000,-60448444.0
1775830747.443802,690000,-59965188.0
1775830753.259503,700000,-59951136.0
1775830762.9016585,710000,-59857088.0
1775830768.554153,720000,-60001364.0
1775830831.5164878,730000,-60029784.0
1775830837.5200667,740000,-60097300.0
1775830843.4988062,750000,-60141568.0
1775830907.8663847,760000,-59930880.0
1775830913.6761718,770000,-59786660.0
1775830919.4366715,780000,-59924516.0
1775830985.6141267,790000,-59949096.0
1775830991.476242,800000,-59991752.0
1775831001.2457566,810000,-59897208.0
1775831068.8492463,820000,-59627608.0
1775831075.4374769,830000,-59764700.0
1775831081.5918431,840000,-59772200.0
1775831087.5931795,850000,-59691452.0
1775831153.441272,860000,-59765832.0
1775831159.154104,870000,-59864028.0
1775831164.7579262,880000,-59697736.0
1775831232.2677493,890000,-59814172.0
1775831238.4037888,900000,-59963980.0
1775831249.1876419,910000,-59596168.0
1775831319.3948526,920000,-60011780.0
1775831325.0858212,930000,-60069108.0
1775831330.9746027,940000,-60078500.0
1775831336.982714,950000,-60018532.0
1775831401.5469918,960000,-60237704.0
1775831407.3307207,970000,-60097652.0
1775831413.2386742,980000,-60075324.0
1775831481.7623649,990000,-60097492.0
1775831488.0450234,1000000,-60049720.0
1775831498.115139,1010000,-60103860.0
1775831577.0522602,1020000,-60362760.0
1775831582.911705,1030000,-60333360.0
1775831588.9519958,1040000,-60249500.0
1775831656.5076284,1050000,-60021400.0
1775831662.454512,1060000,-60117660.0
1775831668.3154917,1070000,-60142988.0
