Wall time,Step,Value
1775829137.9646282,10000,-51005984.0
1775829143.9674613,20000,-51113652.0
1775829150.5410147,30000,-51093128.0
1775829217.9106824,40000,-51961940.0
1775829223.6775331,50000,-51685160.0
1775829229.4303508,60000,-51880116.0
1775829296.195622,70000,-51574200.0
1775829302.0234635,80000,-51534148.0
1775829308.1081545,90000,-51629188.0
1775829372.8501282,100000,-51190752.0
1775829379.7395012,110000,-51081304.0
1775829385.6504154,120000,-51162132.0
1775829391.5051558,130000,-51143776.0
1775829453.1596408,140000,-50681812.0
1775829458.8962977,150000,-50727636.0
1775829464.5658197,160000,-50620420.0
1775829524.7341847,170000,-50029676.0
1775829530.3395367,180000,-50174484.0
1775829535.9211116,190000,-50077212.0
1775829596.8985305,200000,-49498884.0
1775829608.23991,210000,-49496876.0
1775829614.3256493,220000,-49474580.0
1775829686.3640206,230000,-49029220.0
1775829692.6235669,240000,-48970028.0
1775829698.7628963,250000,-49142020.0
1775829704.989456,260000,-49080496.0
1775829767.4226234,270000,-48714624.0
1775829773.0721557,280000,-48605976.0
1775829778.869343,290000,-48741288.0
1775829842.6774797,300000,-48476648.0
1775829853.2797844,310000,-48439076.0
1775829858.9192047,320000,-48448236.0
1775829919.9685268,330000,-48373052.0
1775829925.790903,340000,-48298636.0
1775829931.5954394,350000,-48312344.0
1775829937.313125,360000,-48417308.0
1775830001.9751625,370000,-48253016.0
1775830007.8005173,380000,-48227960.0
1775830013.6178544,390000,-48311072.0
1775830080.4678495,400000,-48219164.0
1775830091.4799669,410000,-48263476.0
1775830097.3953736,420000,-48189172.0
1775830163.597622,430000,-48336344.0
1775830169.6037319,440000,-48416836.0
1775830175.7651134,450000,-48325744.0
1775830248.055366,460000,-48246416.0
1775830254.0123253,470000,-48176268.0
1775830259.764732,480000,-48140976.0
1775830265.5821004,490000,-48251724.0
1775830328.7202878,500000,-48179344.0
1775830338.8362658,510000,-48048116.0
1775830344.7645116,520000,-48163820.0
1775830408.2841244,530000,-48227864.0
1775830414.2315588,540000,-48258596.0
1775830420.0652232,550000,-48220752.0
1775830483.4759676,560000,-48174292.0
1775830489.2427385,570000,-48199372.0
1775830495.0869164,580000,-48208232.0
1775830558.4449918,590000,-48197108.0
1775830564.1952643,600000,-48332344.0
1775830575.8205228,610000,-48076600.0
1775830581.5572088,620000,-48215076.0
1775830643.7799773,630000,-48239272.0
1775830649.582865,640000,-48201536.0
1775830655.368882,650000,-48154576.0
1775830716.553062,660000,-48091392.0
1775830722.4023292,670000,-48082220.0
1775830728.1933577,680000,-48111312.0
1775830791.1846461,690000,-48153968.0
1775830797.1528132,700000,-48038424.0
1775830811.1987302,710000,-48106108.0
1775830817.6575665,720000,-48191336.0
1775830882.4237883,730000,-48036120.0
1775830888.2200155,740000,-48144124.0
1775830894.004932,750000,-48148040.0
1775830957.0816355,760000,-48002880.0
1775830962.9716568,770000,-48025020.0
1775830968.81829,780000,-47953792.0
1775831038.5508509,790000,-48048072.0
1775831045.190192,800000,-48057160.0
1775831055.5859046,810000,-47991828.0
1775831124.0585437,820000,-48087528.0
1775831129.7682872,830000,-47998004.0
1775831135.6395352,840000,-48106964.0
1775831141.4569263,850000,-48027992.0
1775831210.5040898,860000,-48092052.0
1775831216.2660596,870000,-47968456.0
1775831222.0189567,880000,-48038532.0
1775831289.165071,890000,-48035460.0
