Wall time,Step,Value
1775829137.0337808,10000,-44159632.0
1775829142.810009,20000,-44841872.0
1775829148.5737188,30000,-44515152.0
1775829210.3773193,40000,-43877296.0
1775829216.2364547,50000,-44166276.0
1775829221.9105158,60000,-44222756.0
1775829283.6088057,70000,-41123476.0
1775829289.318155,80000,-41197544.0
1775829295.0543845,90000,-41023212.0
1775829355.3650203,100000,-39393520.0
1775829362.4587529,110000,-39341112.0
1775829368.2085278,120000,-39535520.0
1775829373.936292,130000,-39682324.0
1775829433.768456,140000,-39013708.0
1775829439.4703217,150000,-38852188.0
1775829445.1997912,160000,-38928036.0
1775829506.1161275,170000,-38764560.0
1775829511.8709922,180000,-38794524.0
1775829517.5928912,190000,-38696340.0
1775829578.5691411,200000,-38707704.0
1775829588.3016272,210000,-38637092.0
1775829594.0348535,220000,-38684440.0
1775829654.7915545,230000,-38683780.0
1775829660.5695765,240000,-38733504.0
1775829666.2768524,250000,-38650612.0
1775829672.033803,260000,-38709380.0
1775829732.1426551,270000,-38973632.0
1775829737.9615083,280000,-39037260.0
1775829743.6804733,290000,-38973584.0
1775829805.9909706,300000,-38784348.0
1775829815.9400194,310000,-38796492.0
1775829821.5971131,320000,-38807900.0
1775829882.9712498,330000,-38791104.0
1775829888.7421517,340000,-38769132.0
1775829894.4395185,350000,-38847992.0
1775829900.1421323,360000,-38771740.0
1775829962.5654335,370000,-38802544.0
1775829968.4038308,380000,-38848104.0
1775829974.3318763,390000,-38816724.0
1775830035.3438725,400000,-38540104.0
1775830046.0751297,410000,-38587188.0
1775830051.7731438,420000,-38480808.0
1775830112.9391105,430000,-38519048.0
1775830118.5896165,440000,-38409756.0
1775830124.2804742,450000,-38353908.0
1775830183.805376,460000,-38281868.0
1775830189.4506605,470000,-38322356.0
1775830195.0879977,480000,-38258200.0
1775830200.8381052,490000,-38232892.0
1775830262.3735487,500000,-38306344.0
1775830272.1707315,510000,-38282512.0
1775830278.2589366,520000,-38295348.0
1775830339.8867493,530000,-38184308.0
1775830345.87376,540000,-38259064.0
1775830351.6871238,550000,-38325676.0
1775830416.5549788,560000,-38230016.0
1775830422.3562691,570000,-38325424.0
1775830428.0624459,580000,-38156256.0
1775830488.9679208,590000,-38472104.0
1775830494.6663368,600000,-38394912.0
1775830506.3502238,610000,-38554724.0
1775830512.0124617,620000,-38378960.0
1775830572.342288,630000,-38368708.0
1775830577.9797218,640000,-38486552.0
1775830583.5768428,650000,-38480696.0
1775830643.8708863,660000,-38385540.0
1775830649.534858,670000,-38388172.0
1775830655.1558642,680000,-38509744.0
1775830715.5743043,690000,-38363572.0
1775830721.2276263,700000,-38372504.0
1775830733.8950684,710000,-38323016.0
1775830739.6660106,720000,-38308100.0
1775830799.8063977,730000,-38556356.0
1775830805.54,740000,-38483128.0
1775830811.1329637,750000,-38575556.0
1775830871.0285954,760000,-38356600.0
1775830876.6706674,770000,-38385140.0
1775830882.3739896,780000,-38462248.0
1775830941.912328,790000,-38294988.0
1775830947.5791037,800000,-38284328.0
1775830957.1821594,810000,-38227840.0
1775831017.4445906,820000,-38529916.0
1775831023.1272607,830000,-38402436.0
1775831028.8219693,840000,-38267340.0
1775831034.454897,850000,-38441164.0
1775831094.132112,860000,-38312472.0
1775831099.7791615,870000,-38381148.0
1775831105.53755,880000,-38341396.0
1775831165.0437171,890000,-38265180.0
1775831170.78162,900000,-38256420.0
1775831180.3507504,910000,-38261480.0
1775831239.8794582,920000,-38257708.0
1775831245.5881896,930000,-38278356.0
1775831251.298666,940000,-38232080.0
1775831257.009417,950000,-38267980.0
1775831316.9426625,960000,-38406204.0
1775831322.625351,970000,-38468684.0
1775831328.297657,980000,-38375592.0
1775831386.7896192,990000,-38402052.0
